0, 2, 4
1, 8, 4
2, 7, 4
3, 8, 4
4, 2, 4
5, 8, 4
6, 9, 4
7, 3, 4
8, 4, 4
9, 8, 4
10, 1, 4
11, 5, 4
12, 4, 4
13, 2, 4
14, 6, 4
15, 4, 4
16, 8, 4
17, 8, 4
18, 10, 4
19, 5, 4
20, 9, 4
21, 4, 4
22, 1, 4
23, 4, 4
24, 10, 4
25, 3, 4
26, 5, 4
27, 2, 4
28, 4, 4
29, 1, 4
0, 9, 5
1, 1, 5
2, 10, 5
3, 7, 5
4, 9, 5
5, 5, 5
6, 2, 5
7, 3, 5
8, 5, 5
9, 2, 5
10, 10, 5
11, 1, 5
12, 1, 5
13, 9, 5
14, 6, 5
15, 4, 5
16, 2, 5
17, 6, 5
18, 6, 5
19, 8, 5
20, 9, 5
21, 5, 5
22, 3, 5
23, 5, 5
24, 7, 5
25, 3, 5
26, 6, 5
27, 9, 5
28, 4, 5
29, 10, 5
